Clause,Category,Risk_Level
The client shall pay invoices within 42 days,Payment,Low
Payment must be completed before 53 days,Payment,Medium
The agreement may be terminated with 56 days notice,Termination,High
Penalty of 15% will be applied,Penalty,Medium
Penalty of 63% will be applied,Penalty,Medium
Payment must be completed before 50 days,Payment,Medium
Penalty of 85% will be applied,Penalty,High
The agreement may be terminated with 61 days notice,Termination,High
Payment must be completed before 17 days,Payment,Low
The agreement may be terminated with 58 days notice,Termination,Medium
The agreement may be terminated with 52 days notice,Termination,Medium
Penalty of 57% will be applied,Penalty,High
Penalty of 64% will be applied,Penalty,High
Penalty of 86% will be applied,Penalty,High
Payment must be completed before 45 days,Payment,Medium
The client shall pay invoices within 32 days,Payment,Low
The client shall pay invoices within 27 days,Payment,Medium
The agreement may be terminated with 51 days notice,Termination,Medium
Penalty of 53% will be applied,Penalty,High
Penalty of 67% will be applied,Penalty,High
The agreement may be terminated with 53 days notice,Termination,Medium
The agreement may be terminated with 77 days notice,Termination,High
Penalty of 41% will be applied,Penalty,Medium
Penalty of 51% will be applied,Penalty,High
The client shall pay invoices within 74 days,Payment,Medium
Payment must be completed before 84 days,Payment,Low
The agreement may be terminated with 50 days notice,Termination,High
Penalty of 89% will be applied,Penalty,Medium
Payment must be completed before 14 days,Payment,Low
The agreement may be terminated with 31 days notice,Termination,Medium
The agreement may be terminated with 62 days notice,Termination,Medium
The agreement may be terminated with 14 days notice,Termination,Medium
